username,mac,asstime,apname,maploc,sesdur,snr,rssi,importfile
fvgPaT671+fiiAiS5cY5l8MfTbQM8/iwYnF6M5C0vi0=,Kpm2VDg7WxG67kwGr3cjGc/rygAQtc2b8eKKJ1UgvUY=,2016-04-22 16:29:24,A-134-0-071,Root Area,00:05:00,32,-66,20160422-wifitracking.csv.gz
fvgPaT671+fiiAiS5cY5l8MfTbQM8/iwYnF6M5C0vi0=,Kpm2VDg7WxG67kwGr3cjGc/rygAQtc2b8eKKJ1UgvUY=,2016-04-22 16:44:45,A-134-0-073,Root Area,00:05:07,22,-75,20160422-wifitracking.csv.gz
fvgPaT671+fiiAiS5cY5l8MfTbQM8/iwYnF6M5C0vi0=,Kpm2VDg7WxG67kwGr3cjGc/rygAQtc2b8eKKJ1UgvUY=,2016-04-22 16:49:53,A-134-0-075,Root Area,00:05:06,16,-83,20160422-wifitracking.csv.gz
fvgPaT671+fiiAiS5cY5l8MfTbQM8/iwYnF6M5C0vi0=,Kpm2VDg7WxG67kwGr3cjGc/rygAQtc2b8eKKJ1UgvUY=,2016-04-22 16:54:59,A-134-0-112,Root Area,00:05:00,16,-83,20160422-wifitracking.csv.gz
i9JrZ1eQOSu2X/i1YK+F5jYq0+jA6slAATzV5190Moc=,v7YU9hy4O0B8UYcBAhEvithihB9yzSz2q9euzX4iduc=,2016-04-22 08:46:42,A-134-0-025,Root Area,00:20:26,41,-57,20160422-wifitracking.csv.gz
i9JrZ1eQOSu2X/i1YK+F5jYq0+jA6slAATzV5190Moc=,v7YU9hy4O0B8UYcBAhEvithihB9yzSz2q9euzX4iduc=,2016-04-22 09:12:25,A-134-0-025,Root Area,00:15:33,41,-56,20160422-wifitracking.csv.gz
i9JrZ1eQOSu2X/i1YK+F5jYq0+jA6slAATzV5190Moc=,v7YU9hy4O0B8UYcBAhEvithihB9yzSz2q9euzX4iduc=,2016-04-22 09:27:58,A-134-0-024,Root Area,00:10:16,37,-61,20160422-wifitracking.csv.gz
i9JrZ1eQOSu2X/i1YK+F5jYq0+jA6slAATzV5190Moc=,v7YU9hy4O0B8UYcBAhEvithihB9yzSz2q9euzX4iduc=,2016-04-22 09:43:26,A-134-0-033,Root Area,00:05:08,19,-80,20160422-wifitracking.csv.gz
i9JrZ1eQOSu2X/i1YK+F5jYq0+jA6slAATzV5190Moc=,v7YU9hy4O0B8UYcBAhEvithihB9yzSz2q9euzX4iduc=,2016-04-22 09:53:44,A-134-0-025,Root Area,01:15:23,31,-65,20160422-wifitracking.csv.gz
i9JrZ1eQOSu2X/i1YK+F5jYq0+jA6slAATzV5190Moc=,v7YU9hy4O0B8UYcBAhEvithihB9yzSz2q9euzX4iduc=,2016-04-22 18:21:09,A-20-0-033,System Campus > 20-Aula > BG_Tussenverdieping,00:05:00,7,-82,20160422-wifitracking.csv.gz
